"Órgão","Sigla","Unidade","Quantidade"
"PCMG","PCMG/1DRPC/S LAGOAS/1ªDPC/CART","1ªDPC - Cartório/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","78"
"PCMG","PCMG/1DRPC/S LAGOAS/1ªDPC","1ªDPC - Gabinete/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","243"
"PCMG","PCMG/1DRPC/S LAGOAS/1ªDPC/INSP","1ªDPC - Inspetoria/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","59"
"PMMG","PMMG/1RPM/1BPM","1º Batalhão da Polícia Militar de Minas Gerais","22"
"CBMMG","CBMMG/1BBM","1º Batalhão de Bombeiros Militar","509"
"CBMMG","CBMMG/1BBM/1Cia","1º Batalhão de Bombeiros Militar","1"
"CBMMG","CBMMG/1BBM/1Cia/5Pel","1º Batalhão de Bombeiros Militar","3"
"CBMMG","CBMMG/1BBM/2Cia/1Pel","1º Batalhão de Bombeiros Militar","1"
"CBMMG","CBMMG/1BBM/1Cia/7Pel","1º Batalhão de Bombeiros Militar","2"
"CBMMG","CBMMG/1BBM/1Cia/6Pel","1º Batalhão de Bombeiros Militar","1"
"CBMMG","CBMMG/1BBM/2Cia","1º Batalhão de Bombeiros Militar - Pelotão ouro Preto","19"
"CBMMG","CBMMG/1BBM/CARTÓRIO","1º Batalhão de Bombeiros Militar / Cartório","61"
"CBMMG","CBMMG/1COB","1º Comando Operacional","40"
"CBMMG","CBMMG/1COB/CARTÓRIO","1º Comando Operacional / Cartório","49"
"CBMMG","CBMMG/1COB/DIV ADM","1º Comando Operacional / Divisão Administrativa","136"
"CBMMG","CBMMG/1COB/DIV OP","1º Comando Operacional / Divisão Operacional","83"
"PCMG","PCMG/1DepPC/BELO HORIZONTE","1º Departamento de Polícia Civil/BELO HORIZONTE - Gabinete do Chefe/PCMG","19"
"PCMG","PCMG/20DepPC/PONTE NOVA","20° Departamento de Polícia Civil/PONTE NOVA - Gabinete/PCMG","395"
"PMMG","PMMG/16RPM/45BPM/206CIAPM","206 Companhia de Polícia Militar","7"
"PMMG","PMMG/11RPM/50BPM/209CIA","209ª Companhia de Polícia Militar do 50º BPM","1"
"PCMG","PCMG/5DRPC/VIÇOSA/20DPC","20ª Delegacia de Polícia Civil - Gabinete/5DRPC/VIÇOSA/4DepPC/PCMG","4"
"PCMG","PCMG/3DRPC/20DPC ESPINOSA","20ª Delegacia de Polícia Civil/ESPINOSA - Gabinete/3DRPC/JANAÚBA/11DepPC/PCMG","105"
"DER","DER/URG/FORMIGA","20ª Unidade Regional DER - Formiga","389"
"DER","DER/URG/FORMIGA - NAF","20ª Unidade Regional DER - Formiga - NAF","16"
"DER","DER/URG/FORMIGA - NTE","20ª Unidade Regional DER - Formiga - NTE","40"
"PMMG","PMMG/17RPM/20BPM","20º Batalhão da Polícia Militar de Minas Gerais","123"
"PMMG","PMMG/11RPM/10BPM/210ª CIA","210ª Companhia de Polícia Militar do 10º BPM","35"
"PMMG","PMMG/11RPM/50BPM/211CIA","211ª Companhia de Polícia Militar do 50º BPM","2"
"PMMG","PMMG/10RPM/15BPM/216/CREDS-TC","216CIA/15 BATALHÃO DA POLÍCIA MILITAR DE MINAS GERAIS","1"
"PMMG","PMMG/12RPM/21CIA PM IND","21ª Companhia PM Independente da Polícia Militar de Minas Gerais","135"
"PCMG","PCMG/5DRPC/VIÇOSA/21DPC","21ª Delegacia de Polícia Civil - Gabinete/5DRPC/VIÇOSA/4DepPC/PCMG","43"
"DER","DER/URG/JEQUITINHONHA","21ª Unidade Regional DER - Jequitinhonha","213"
"DER","DER/URG/JEQUITINHONHA - NAF","21ª Unidade Regional DER - Jequitinhonha - NAF","32"
"DER","DER/URG/JEQUITINHONHA -NTE","21ª Unidade Regional DER - Jequitinhonha - NTE","31"
"PMMG","PMMG/4RPM/21BPM","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS","188"
"PMMG","PMMG/4RPM/21BPM/ALMOX","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - ALMOXARIFADO","50"
"PMMG","PMMG/4RPM/21BPM/NJD","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - NÚCLEO DE JUSTIÇA E DISCIPLINA","143"
"PMMG","PMMG/4RPM/21BPM/P2","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - P2","8"
"PMMG","PMMG/4RPM/21BPM/P3","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - P3","38"
"PMMG","PMMG/4RPM/21BPM/POC","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - POSTO DE COMBUSTÍVEL","5"
"PMMG","PMMG/4RPM/21BPM/SAS","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - SAS","1"
"PMMG","PMMG/4RPM/21BPM/TIC","21º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - TIC","12"
"DER","DER/URG/ARAÇUAI","22ª Unidade Regional DER - Araçuaí","21"
"DER","DER/URG/ARAÇUAI - NAF","22ª Unidade Regional DER - Araçuaí - NAF","1"
"DER","DER/URG/ARAÇUAI - NTE","22ª Unidade Regional DER - Araçuaí - NTE","3"
"PMMG","PMMG/1RPM/22BPM","22º Batalhão da Polícia Militar de Minas Gerais","761"
"PMMG","PMMG/7RPM/231ª Cia ET","231ª Companhia de Ensino e Treinamento","5"
"PMMG","PMMG/14RPM/23Cia PM Ind","23ª Companhia PM Independente","72"
"DER","DER/URG/GOVERNADOR VALADARES","23ª Unidade Regional DER - Governador Valadares","185"
"DER","DER/URG/GOVERN.VALAD. - NAF","23ª Unidade Regional DER - Governador Valadares - NAF","177"
"DER","DER/URG/GOVERN.VALAD. - NTE","23ª Unidade Regional DER - Governador Valadares - NTE","65"
"PMMG","PMMG/7RPM/23BPM","23º Batalhão da Polícia Militar de Minas Gerais","31"
"PMMG","PMMG/18RPM/EM/244CIA ET","244ª Cia de Ensino e Treinamento EM/18RPM","16"
"PMMG","PMMG/15RPM/24Cia PM Ind","24ª Companhia PM Independente","37"
"DER","DER/URG/PASSOS","24ª Unidade Regional DER - Passos","136"
"DER","DER/URG/PASSOS - NAF","24ª Unidade Regional DER - Passos - NAF","24"
"DER","DER/URG/PASSOS - NTE","24ª Unidade Regional DER - Passos - NTE","44"
"PMMG","PMMG/6RPM/24BPM","24º Batalhão da Polícia Militar de Minas Gerais","46"
"DER","DER/URG/UBERABA","25ª Unidade Regional DER - Uberaba","1016"
"DER","DER/URG/UBERABA - NAF","25ª Unidade Regional DER - Uberaba - NAF","167"
"DER","DER/URG/UBERABA - NTE","25ª Unidade Regional DER - Uberaba - NTE","48"
"PMMG","PMMG/19RPM/25BPM","25º Batalhão da Polícia Militar de Minas Gerais","162"
"PMMG","PMMG/17RPM/56BPM/264CIA","264º Cia PM de Paraisópolis","11"
"PMMG","PMMG/15RPM/26Cia PM Ind","26ª Companhia PM Independente","1"
"DER","DER/URG/PARACATU","26ª Unidade Regional DER - Paracatu","825"
"DER","DER/URG/PARACATU - NAF","26ª Unidade Regional DER - Paracatu - NAF","114"
"DER","DER/URG/PARACATU - NTE","26ª Unidade Regional DER - Paracatu - NTE","51"
"PMMG","PMMG/12RPM/26BPM","26º Batalhão da Polícia Militar de MInas Gerais","100"
"DER","DER/URG/PEDRA AZUL","27ª Unidade Regional DER - Pedra Azul","31"
"PMMG","PMMG/4RPM/27BPM","27º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS","156"
"PCMG","PCMG/DPC ITAMARANDIBA/CIRETR","281ª Circunscrição Regional de Trânsito/DPC/ITAMARANDIBA/2DRPC/14DepPC/PCMG","326"
"PCMG","PCMG/5DRPC/GUAXUPÉ/28ª DPC","28ª Delegacia de Polícia Civil - Gabinete/5DRPC/GUAXUPÉ/18DepPC/PCMG","94"
"PCMG","PCMG/5DRPC/28DPC/PONTE NOVA","28ª Delegacia de Polícia Civil/PONTE NOVA - Gabinete/5DRPC/12DepPC/PCMG","109"
"DER","DER/URG/TEOFILO OTONI","28ª Unidade Regional DER - Teófilo Otoni","201"
"DER","DER/URG/TEOFILO OTONI - NAF","28ª Unidade Regional DER - Teófilo Otoni - NAF","55"
"DER","DER/URG/TEOFILO OTONI - NTE","28ª Unidade Regional DER - Teófilo Otoni - NTE","199"
"PMMG","PMMG/16RPM/28BPM","28º Batalhão da Polícia Militar de Minas Gerais","103"
"PCMG","PCMG/2DRPC/BOM DESPACHO/CIRETR","28ºCiretran/2DRPC/BOM DESPACHO/7DepPC/PCMG","51"
"DER","DER/URG/MANHUMIRIM","29ª Unidade Regional DER - Manhumirim","259"
"DER","DER/URG/MANHUMIRIM - NAF","29ª Unidade Regional DER - Manhumirim - NAF","9"
"DER","DER/URG/MANHUMIRIM - NTE","29ª Unidade Regional DER - Manhumirim - NTE","26"
"PMMG","PMMG/18RPM/29BPM","29º Batalhão da Polícia Militar de Minas Gerais","229"
"PMMG","PMMG/COMAVE/2ª BRAVE","2ª BASE REGIONAL DE AVIAÇÃO DO ESTADO - COMAVE","77"
"PCMG","PCMG/CGPC/2ªCPP","2ª Comissão Processante Permanente/CGPC/PCMG","7"
"PMMG","PMMG/CPE/BPMRV/2ª CIA PM RV","2ª Companhia de Polícia Militar Rodoviária","66"
"CBMMG","CBMMG/2-CIA-IND","2ª Companhia Independente","365"
"CBMMG","CBMMG/2-CIA-IND/CARTÓRIO","2ª Companhia Independente / Cartório","63"
"PMMG","PMMG/11RPM/2Cia PM Ind","2ª Companhia PM Independente da Polícia Militar de Minas Gerais","32"
"PCMG","PCMG/5DRPC/GUAXUPÉ/2ªDA","2ª Delegacia Adjunta de Polícia Civil - Gabinete/5DRPC/GUAXUPÉ/18DepPC/PCMG","37"
"PCMG","PCMG/DOPCAD/2DEPIN/GAB","2ª Delegacia de Plantão Especializada de Investigação de Ato Infracional - Gabinete/DOPCAD/DEFAM/PCMG","49"
"PCMG","PCMG/2DRPC/PATROCÍNIO/2DPC","2ª Delegacia de Polícia - Gabinete/2DRPC/PATROCÍNIO/10DepPC/PCMG","325"
"PCMG","PCMG/BH/1DRPC/CENTRO/2DPC","2ª Delegacia de Polícia Civil - Gabinete/1DRPC/CENTRO/1DepPC/BELO HORIZONTE/PCMG","32"
"PCMG","PCMG/CONTAGEM/2DPC","2ª Delegacia de Polícia Civil - Gabinete/1DRPC/CONTAGEM/2DepPC/PCMG","10"
"PCMG","PCMG/1DRPC/JF/2DPC","2ª Delegacia de Polícia Civil - Gabinete/1DRPC/JUIZ DE FORA/4DepPC/PCMG","150"
"PCMG","PCMG/1DRPC/UBERLÂNDIA/2DPC","2ª Delegacia de Polícia Civil - Gabinete/1DRPC/UBERLÂNDIA/9DepPC/PCMG","347"
"PCMG","PCMG/BH/2DRPC/BARRE/2DPC","2ª Delegacia de Polícia Civil - Gabinete/2DRPC/BARREIRO/1DepPC/BELO HORIZONTE/PCMG","121"
"PCMG","PCMG/2DRPC/BETIM/2DPC","2ª Delegacia de Polícia Civil - Gabinete/2DRPC/BETIM/2DepPC/PCMG","1024"
"PCMG","PCMG/2DRPC/NOVA LIMA/2DPC","2ª Delegacia de Polícia Civil - Gabinete/2DRPC/NOVA LIMA/3DepPC/PCMG","1013"
"PCMG","PCMG/3DRPC/RIB NEVES/2DPC","2ª Delegacia de Polícia Civil - Gabinete/3DRPC/RIBEIRÃO DAS NEVES/2DepPC/PCMG","12"
"PCMG","PCMG/BH/3DRPC/V NOVA/2DPC","2ª Delegacia de Polícia Civil - Gabinete/3DRPC/VENDA NOVA/1DepPC/BELO HORIZONTE/PCMG","25"
"PCMG","PCMG/3DRPC/VESPASIANO/2DPC","2ª Delegacia de Polícia Civil - Gabinete/3DRPC/VESPASIANO/3DepPC/PCMG","215"
"PCMG","PCMG/4DRPC/IBIRITÉ/2DPC","2ª Delegacia de Polícia Civil - Gabinete/4DRPC/IBIRITÉ/2DepPC/PCMG","27"
"PCMG","PCMG/BH/4DRPC/LESTE/2DPC","2ª Delegacia de Polícia Civil - Gabinete/4DRPC/LESTE/BELO HORIZONTE/PCMG","61"
"PCMG","PCMG/BH/5DRPC/SUL/2DPC","2ª Delegacia de Polícia Civil - Gabinete/5DRPC/SUL/BELO HORIZONTE/PCMG","171"
"PCMG","PCMG/BH/6DRPC/NOR/2DPC","2ª Delegacia de Polícia Civil - Gabinete/6DRPC/NOROESTE/1DepPC/BELO HORIZONTE/PCMG","1995"
"PCMG","PCMG/1DRPC/MOC/2DPC","2ª Delegacia de Polícia Civil/MONTES CLAROS - Gabinete/11DepPC/PCMG","423"
"PCMG","PCMG/4DRPC/SABARÁ/2DPC","2ª Delegacia de Polícia Civil/SABARÁ - Gabinete/4DRPC/3DepPC/PCMG","21"
"PCMG","PCMG/1DRPC/SANTA LUZIA/2DPC","2ª Delegacia de Polícia Civil/SANTA LUZIA - Gabinete/1DRPC/3DepPC/PCMG","171"
"PCMG","PCMG/CONTAGEM/2DEPLAN","2ª Delegacia de Polícia de Plantão - Gabinete/1DRPC/CONTAGEM/2DepPC/PCMG","46"
"PCMG","PCMG/1DRPC/P CALDAS/2DPC","2ª Delegacia Delegacia de Polícia Civil - Gabinete/1DRPC/POÇOS DE CALDAS/18DepPC/PCMG","25"
"PCMG","PCMG/DEMA/DEOMA/2DEMACA","2ª Delegacia Especializada de Investigação de Crimes Contra o meio Ambiente - Gabinete/DEMA/DEOMA","24"
"PCMG","PCMG/DENARC/DIV/2DERA","2ª Delegacia Especializada de Repressão Antidrogas - Gabinete/DIV/DENARC/PCMG","14"
"PCMG","PCMG/SIPJ/DEF/2ªDEICC","2ª Delegacia Especializada em Investigação de Crimes Cibernéticos/DivEICCDC/DEF/SIPJ/PCMG","402"
"PCMG","PCMG/SIPJ/DEF/2ªDEICCOT","2ª Delegacia Especializada em Investigação de Crimes Contra a Ordem Tributária/DivEIFCCOTAP/DEF/SIPJ/PCMG","331"
"PCMG","PCMG/SIPJ/DEF/2ªDEIF/GAB","2ª Delegacia Especializada em Investigação de Fraudes/DivEIFCCOTAP/DEF/SIPJ/PCMG","24"
"PCMG","PCMG/DEPATRI/2DEIRFR","2ª Delegacia Especializada em Investigação e Repressão ao Furto e Roubo - Gabinete/DEPATRI/PCMG","33"
"PCMG","PCMG/DEICTRAN/2ªPLANTÃO","2ª DELEGACIA PLANTÃO/DEICTRAN/SIPJ/PCMG","86"
"PCMG","PCMG/18DepPC/2DRPC/ALFENAS","2ª Delegacia Regional de Polícia Civil/ALFENAS - Gabinete/18DepPC/PCMG","25"
"PCMG","PCMG/5DepPC/2DRPC/ARAXÁ","2ª Delegacia Regional de Polícia Civil/ARAXÁ - Gabinete/5DepPC/PCMG","4"
"PCMG","PCMG/BH/2DRPC/BARREIRO/GAB","2ª Delegacia Regional de Polícia Civil/BARREIRO - Gabinete/1DepPC/BELO HORIZONTE/PCMG","5"
"PCMG","PCMG/2DepPC/2DRPC/BETIM","2ª Delegacia Regional de Polícia Civil/BETIM - Gabinete/2DepPC/PCMG","120"
"PCMG","PCMG/7DepPC/2DRPC/BOM DESPACHO","2ª Delegacia Regional de Polícia Civil/BOM DESPACHO - Gabinete/7DepPC/PCMG","13"
"PCMG","PCMG/14DepPC/2DRPC/CAPELINHA","2ª Delegacia Regional de Polícia Civil/CAPELINHA - Gabinete/14DepPC/PCMG","230"
"PCMG","PCMG/12DepPC/2DRPC/CARATINGA","2ª Delegacia Regional de Polícia Civil/CARATINGA - Gabinete/12DepPC/PCMG","5"
"PCMG","PCMG/13DepPC/2DRPC/C LAFAIETE","2ª Delegacia Regional de Polícia Civil/CONSELHEIRO LAFAIETE - Gabinete/13DepPC/PCMG","796"
"PCMG","PCMG/8DepPC/2DRPC/GUANHÃES/GAB","2ª Delegacia Regional de Polícia Civil/GUANHÃES - Gabinete/8DepPC/PCMG","15"
"PCMG","PCMG/17DepPC/2DRPC/ITAJUBÁ","2ª Delegacia Regional de Polícia Civil/ITAJUBÁ - Gabinete/17DepPC/PCMG","64"
"PCMG","PCMG/11DepPC/2DRPC/JANUÁRIA","2ª Delegacia Regional de Polícia Civil/JANUÁRIA - Gabinete/11DepPC/PCMG","404"
"PCMG","PCMG/3DepPC/2DRPC/NOVA LIMA","2ª Delegacia Regional de Polícia Civil/NOVA LIMA - Gabinete/3DepPC/PCMG","16"
"PCMG","PCMG/16DepPC/2DRPC/PARACATU","2ª Delegacia Regional de Polícia Civil/PARACATU - Gabinete/16DepPC/PCMG","48"
"PCMG","PCMG/10DepPC/2DRPC/PATROCÍNIO","2ª Delegacia Regional de Polícia Civil/PATROCÍNIO - Gabinete/10DepPC/PCMG","1"
"PCMG","PCMG/15DepPC/2DRPC/PEDRA AZUL","2ª Delegacia Regional de Polícia Civil/PEDRA AZUL - Gabinete/15DepPC/PCMG","39"
"PCMG","PCMG/19DepPC/2DRPC/PL","2ª Delegacia Regional de Polícia Civil/PEDRO LEOPOLDO - Gabinete/19DepPC/PCMG","46"
"PCMG","PCMG/4DepPC/2DRPC/UBÁ","2ª Delegacia Regional de Polícia Civil/UBÁ - Gabinete/4DepPC/PCMG","1222"
"PCMG","PCMG/6DepPC/2DRPC/VARGINHA","2ª Delegacia Regional de Polícia Civil/VARGINHA - Gabinete/6DepPC/PCMG","9"
"PCMG","PCMG/3DRPC/RIB NEVES/DEPLAN/2e","2ª Equipe de Plantão/3DRPC/RIBEIRÃO DAS NEVES/2DepPC/PCMG","249"
"PMMG","PMMG/2RPM","2ª Região da Polícia Militar de Minas Gerais","5"
"SEJUSP","SEJUSP/2ª RISP","2ª Região Integrada de Segurança Pública / SEJUSP","726"
"PMMG","PMMG/14RPM - P2","2ª Seção da 14ª BPM","1"
"PCMG","PCMG/CGPC/2ªSPC","2ª Subcorregedoria de Polícia - Gabinete/CGPC/PCMG","81"
"DER","DER/URG/GUANHAES","2ª Unidade Regional DER - Guanhães","59"
"DER","DER/URG/GUANHAES - NAF","2ª Unidade Regional DER - Guanhães - NAF","88"
"DER","DER/URG/GUANHAES - NTE","2ª Unidade Regional DER - Guanhães - NTE","50"
"LEMG","LEMG/VDG2","2ª Vice Diretoria Geral","6"
"PCMG","PCMG/1DRPC/S LAGOAS/2ªDPC/CART","2ªDPC - Cartório/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","85"
"PCMG","PCMG/1DRPC/S LAGOAS/2ªDPC","2ªDPC - Gabinete/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","208"
"PCMG","PCMG/1DRPC/S LAGOAS/2ªDPC/INSP","2ªDPC - Inspetoria/1ª DRPC/SETE LAGOAS/19DepPC/PCMG","54"
"PCMG","PCMG/DPC EXTREMA/2ªDPC","2ªDPC/EXTREMA/1DRPC/POUSO ALEGRE/17DepPC/PCMG","67"
"CBMMG","CBMMG/2BBM","2º Batalhão de Bombeiros Militar","817"
"CBMMG","CBMMG/2BBM/2Cia PV","2º Batalhão de Bombeiros Militar","105"
"CBMMG","CBMMG/2BBM/1Cia/3Pel","2º Batalhão de Bombeiros Militar","5"
"CBMMG","CBMMG/2BBM/1Cia/5Pel","2º Batalhão de Bombeiros Militar","2"
"CBMMG","CBMMG/2BBM/CARTÓRIO","2º Batalhão de Bombeiros Militar / Cartório","32"
"PMMG","PMMG/2RPM/2BPE","2º Batalhão de Patrulhamento Especializado da Polícia Militar de Minas Gerais","48"
"PMMG","PMMG/4RPM/2BPM","2º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS","8"
"PMMG","PMMG/4RPM/2BPM/POC","2º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - POSTO DE COMBUSTÍVEL","2"
"PMMG","PMMG/4RPM/2BPM/SADM","2º BATALHÃO DE POLÍCIA MILITAR DE MINAS GERAIS - SEÇÃO ADMINISTRATIVA","2"
"CBMMG","CBMMG/2COB","2º Comando Operacional","352"
"CBMMG","CBMMG/2COB/CARTÓRIO","2º Comando Operacional / Cartório","20"
"PCMG","PCMG/2DepPC/CONTAGEM","2º Departamento de Polícia Civil/CONTAGEM - Gabinete/PCMG","10"
"DER","DER/URG/JUIZ DE FORA","30ª Unidade Regional DER - Juiz de Fora","255"
"DER","DER/URG/JUIZ DE FORA - NAF","30ª Unidade Regional DER - Juiz de Fora - NAF","148"
"DER","DER/URG/JUIZ DE FORA - NTE","30ª Unidade Regional DER - Juiz de Fora - NTE","46"
"PMMG","PMMG/11RPM/30BPM","30º Batalhão da Polícia Militar de MInas Gerais","26"
"DER","DER/URG/ITUIUTABA","31ª Unidade Regional DER - Ituiutaba","447"
"DER","DER/URG/ITUIUTABA - NAF","31ª Unidade Regional DER - Ituiutaba - NAF","64"
"DER","DER/URG/ITUIUTABA -NTE","31ª Unidade Regional DER - Ituiutaba - NTE","38"
"PMMG","PMMG/13RPM/31BPM","31º Batalhão da Polícia Militar de Minas Gerais","225"
"DER","DER/URG/JANAUBA","32ª Unidade Regional DER - Janaúba","81"
"DER","DER/URG/JANAUBA - NAF","32ª Unidade Regional DER - Janaúba - NAF","103"
"DER","DER/URG/JANAUBA - NTE","32ª Unidade Regional DER - Janaúba - NTE","30"
"PMMG","PMMG/9RPM/32BPM","32º Batalhão da Polícia Militar de MInas Gerais","380"
"DER","DER/URG/PIRAPORA","33ª Unidade Regional DER - Pirapora","159"
"DER","DER/URG/PIRAPORA - NAF","33ª Unidade Regional DER - Pirapora - NAF","86"
"DER","DER/URG/PIRAPORA - NTE","33ª Unidade Regional DER - Pirapora - NTE","88"
"PMMG","PMMG/2RPM/33BPM","33º Batalhão da Polícia Militar de MInas Gerais","102"
"DER","DER/URG/SALINAS","34ª Unidade Regional DER - Salinas","30"
"DER","DER/URG/SALINAS - NAF","34ª Unidade Regional DER - Salinas - NAF","24"
"DER","DER/URG/SALINAS - NTE","34ª Unidade Regional DER - Salinas - NTE","11"
"PMMG","PMMG/1RPM/34BPM","34º Batalhão da Polícia Militar de Minas Gerais","444"
"DER","DER/URG/ABAETE","35ª Unidade Regional DER - Abaeté","254"
"DER","DER/URG/ABAETE - NAF","35ª Unidade Regional DER - Abaeté - NAF","34"
"DER","DER/URG/ABAETE - NTE","35ª Unidade Regional DER - Abaeté - NTE","26"
"PMMG","PMMG/3RPM/35BPM","35º Batalhão da Polícia Militar de MInas Gerais","21"
"DER","DER/URG/ARINOS","36ª Unidade Regional DER - Arinos","254"
"DER","DER/URG/ARINOS - NAF","36ª Unidade Regional DER - Arinos - NAF","40"
"DER","DER/URG/ARINOS - NTE","36ª Unidade Regional DER - Arinos - NTE","21"
"PMMG","PMMG/3RPM/36BPM","36º Batalhão da Polícia Militar de MInas Gerais","142"
"DER","DER/URG/JANUARIA","37ª Unidade Regional DER - Januária","466"
"DER","DER/URG/JANUARIA - NAF","37ª Unidade Regional DER - Januária - NAF","98"
"DER","DER/URG/JANUARIA - NTE","37ª Unidade Regional DER - Januária - NTE","41"
"PMMG","PMMG/5RPM/37BPM","37º Batalhão da Polícia Militar de MInas Gerais","68"
"DER","DER/URG/CAPELINHA","38ª Unidade Regional DER - Capelinha","184"
"DER","DER/URG/CAPELINHA - NAF","38ª Unidade Regional DER - Capelinha - NAF","62"
"DER","DER/URG/CAPELINHA - NTE","38ª Unidade Regional DER - Capelinha - NTE","88"
"PMMG","PMMG/13RPM/38BPM","38º Batalhão da Polícia Militar de Minas Gerais","94"
"DER","DER/URG/JOAO PINHEIRO","39ª Unidade Regional DER - João Pinheiro","60"
"DER","DER/URG/JOAO PINHEIRO - NAF","39ª Unidade Regional DER - João Pinheiro - NAF","22"
"DER","DER/URG/JOAO PINHEIRO - NTE","39ª Unidade Regional DER - João Pinheiro - NTE","26"
"PMMG","PMMG/2RPM/39BPM","39º Batalhão da Polícia Militar de MInas Gerais","55"
"PMMG","PMMG/COMAVE/3ª BRAVE","3ª BASE REGIONAL DE AVIAÇÃO DO ESTADO - COMAVE","58"
"PMMG","PMMG/3RPM/3CIA PM IND PVD","3ª CIA PM IND PVD","7"
"PCMG","PCMG/CGPC/3ªCPP","3ª Comissão Processante Permanente/CGPC/PCMG","9"
"PMMG","PMMG/5RPM/3Cia PM Ind","3ª Companhia PM Independente da Polícia Militar de Minas Gerais","30"
"PMMG","PMMG/3RPM/3Cia PM Ind PE","3ª Companhia PM Independente de Policiamento Especializado da Polícia Militar","31"
"PMMG","PMMG/CPE/BPMRV/3ª CIA PM RV","3ª Companhia Tático Rodoviária","18"
"PCMG","PCMG/5DRPC/GUAXUPÉ/3ªDA","3ª Delegacia Adjunta de Polícia Civil - Gabinete/5DRPC/GUAXUPÉ/18DepPC/PCMG","3"
"PCMG","PCMG/DOPCAD/3DEPIN/GAB","3ª Delegacia de Plantão Especializada de Investigação de Ato Infracional - Gabinete/DOPCAD/DEFAM/PCMG","261"
"PCMG","PCMG/2DRPC/PATROCÍNIO/3DPC","3ª Delegacia de Polícia - Gabinete/2DRPC/PATROCÍNIO/10DepPC/PCMG","2"
"PCMG","PCMG/BH/1DRPC/CENTRO/3DPC","3ª Delegacia de Polícia Civil - Gabinete/1DRPC/CENTRO/BELO HORIZONTE/PCMG","87"
"PCMG","PCMG/CONTAGEM/3DPC/GABINETE","3ª Delegacia de Polícia Civil - Gabinete/1DRPC/CONTAGEM/2DepPC/PCMG","56"
"PCMG","PCMG/1DRPC/IPATINGA/3DPC","3ª Delegacia de Polícia Civil - Gabinete/1DRPC/IPATINGA/12DepPC/PCMG","637"
"PCMG","PCMG/1DRPC/JF/3DPC","3ª Delegacia de Polícia Civil - Gabinete/1DRPC/JUIZ DE FORA/4DepPC/PCMG","167"
"PCMG","PCMG/1DRPC/UBERLÂNDIA/3DPC","3ª Delegacia de Polícia Civil - Gabinete/1DRPC/UBERLÂNDIA/9DepPC/PCMG","595"
"PCMG","PCMG/BH/2DRPC/BARRE/3DPC","3ª Delegacia de Polícia Civil - Gabinete/2DRPC/BARREIRO/1DepPC/BELO HORIZONTE/PCMG","80"
"PCMG","PCMG/2DRPC/BETIM/3DPC","3ª Delegacia de Polícia Civil - Gabinete/2DRPC/BETIM/2DepPC/PCMG","473"
"PCMG","PCMG/2DRPC/NOVA LIMA/3DPC","3ª Delegacia de Polícia Civil - Gabinete/2DRPC/NOVA LIMA/3DepPC/PCMG","840"
"PCMG","PCMG/3DRPC/RIB NEVES/3DPC","3ª Delegacia de Polícia Civil - Gabinete/3DRPC/RIBEIRÃO DAS NEVES/2DepPC/PCMG","189"
"PCMG","PCMG/BH/3DRPC/V NOVA/3DPC","3ª Delegacia de Polícia Civil - Gabinete/3DRPC/VENDA NOVA/1DepPC/BELO HORIZONTE/PCMG","49"
"PCMG","PCMG/4DRPC/IBIRITÉ/3DPC","3ª Delegacia de Polícia Civil - Gabinete/4DRPC/IBIRITÉ/2DepPC/PCMG","412"
"PCMG","PCMG/BH/4DRPC/LESTE/3DPC","3ª Delegacia de Polícia Civil - Gabinete/4DRPC/LESTE/BELO HORIZONTE/PCMG","9"
"PCMG","PCMG/BH/5DRPC/SUL/3DPC","3ª Delegacia de Polícia Civil - Gabinete/5DRPC/SUL/1DepPC/BELO HORIZONTE/PCMG","337"
"PCMG","PCMG/BH/6DRPC/NOR/3DPC","3ª Delegacia de Polícia Civil - Gabinete/6DRPC/NOROESTE/1DepPC/BELO HORIZONTE/PCMG","27"
"PCMG","PCMG/DPC ITAÚNA","3ª Delegacia de Polícia Civil de Itaúna - Gabinete/1DRPC/7DepPC/PCMG","137"
"PCMG","PCMG/1DRPC/MOC/3DPC","3ª Delegacia de Polícia Civil/MONTES CLAROS - Gabinete/11DepPC/PCMG","761"
"PCMG","PCMG/3DRPC/VESPASIANO/3DPC","3ª Delegacia de Polícia Civil/MORRO ALTO - Gabinete/3DRPC/VESPASIANO/3DepPC/PCMG","817"
